dataset.par,region,min_ma,formation,facies,environment,setting,interval,decimalLatitude,decimalLongitude,LatBin,LongBin,taxon,lifestyle,nektobenthic,A1,A2,A3,A4,A5,A6,A7,A8,A9,A10
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Yunnanocephalus,EVHS,1,,1,3,2,3,3,1,3,1,1
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Kuanyangia,EVOM,1,,,1,,,,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Kunmingella,EVOM,1,65,69,95,1057,74,177,226,75,97,27
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Primicaris,EVSU,1,,,4,3,6,9,8,7,1,1
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Acanthomeridion,EVUN,1,,,,,,,,1,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Combinivalvula,EVUN,1,,,1,,2,,1,1,,2
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Diania,EVUN,1,,,,,1,,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Dongshanocaris,EVUN,1,,,,,,,,,,1
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,IndeteB,EVUN,1,,,,,1,,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,IndeteC,EVUN,1,,,,,,1,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,N.Arth.A,EVUN,1,,1,,,,,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,N.Arth.B,EVUN,1,,,,,,,,,1,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Parapaleomerus,EVUN,1,,,,,,1,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Pectocaris,EVUN,1,,,1,,,,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Pseudoiulia,EVUN,1,,,1,,,1,,,,1
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Urokodia,EVUN,1,,,2,,3,2,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Paraselkirkia,ISHS,1,,2,2,1,2,1,2,2,,1
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Sicyphorus,IVDE,1,,,2,,1,8,1,,1,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Corynetis,IVHS,1,,,,,,,1,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Cricocosmia,IVHS,1,263,27,61,3,1344,38,42,44,91,45
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Facivermis,IVHS,1,,,,,,1,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Mafangscolex,IVHS,1,9,10,17,18,566,9,7,16,12,10
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Palaeopriapulites,IVHS,1,,,1,,,,,5,,2
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Xiaoheiqingella,IVHS,1,,1,,,,,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Yunnanpriapulus,IVHS,1,,,,,1,,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Lingulella,IVSU,1,2,8,,3,1,3,2,210,,1
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Lingulellotreta,IVSU,1,,,1,,,,1,5,1,4
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Wangyuia,IVSU,1,1,3,,,6,1,,6,7,19
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Anomalocaris,NHKS,1,,1,2,5,1,4,2,,,2
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Waptia,NKDE,1,7,4,7,7,13,18,5,3,10,11
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Amplectobelua,NKHS,1,,2,2,5,5,3,8,7,7,2
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Branchiocaris?,NKHS,1,1,5,5,7,5,2,6,3,1,7
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Parapeytoia,NKHS,1,,,1,,,,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Beidazoon,NKSU,1,,,1,,,,,2,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Heteromorphus,NKSU,1,,,,1,,,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Pomatrum,NKSU,1,,,,,,1,,1,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Vetulicola,NKSU,1,,1,,4,,2,1,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,AnnelidsA,NKUN,1,,,,,,1,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,N.Arth.E,NKUN,1,,,,,,,,223,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Petalilium,NKUN,1,,,,,,,,,,1
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Isoxys,PEHS,0,3,16,24,9,10,18,20,18,16,15
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,Stellostomites,PEHS?,0,2,,,,1,3,1,116,4,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,IndeteD,UNUN,0,,,,,,,1,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,IndeteE,UNUN,0,,,,,,,,,1,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,IndeteH,UNUN,0,,,,1,,,,,,
Chengjiang_biota,South_China,514,Maotianshan Shale,shale,deep-water indet.,deep marine,Phanerozoic,24.77222,102.5861,24.77,102.59,IndetG,UNUN,0,,,1,,,,,,,1
