min_ma,region,formation,facies,collection_no,decimalLatitude,decimalLongitude,taxon,abundance,taph.corrected.abundance
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-AB (202),-31.012,138.228,Dickinsonia,3,3
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-B (104),-31.012,138.228,Dickinsonia,9,9
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-F (64),-31.012,138.228,Dickinsonia,5,5
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-G (13),-31.012,138.228,Dickinsonia,9,9
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-H (143),-31.012,138.228,Dickinsonia,10,10
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-HI (52),-31.012,138.228,Dickinsonia,10,10
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-I (93),-31.012,138.228,Dickinsonia,38,38
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-J (54),-31.012,138.228,Dickinsonia,15,15
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-X (41),-31.012,138.228,Dickinsonia,22,22
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Sub (334),-31.012,138.228,Dickinsonia,1,1
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Trib (69),-31.012,138.228,Dickinsonia,1,1
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,d_surface,46.625556,-53.161389,Duster,8,8
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,e_surface,46.625556,-53.161389,Duster,362,362
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,g_surface,46.625556,-53.161389,Duster,5,5
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,Imp_surface,46.625556,-53.161389,Duster,4,4
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Parv (137),-31.012,138.228,Eoandromeda,8,8
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Sub (334),-31.012,138.228,Eoandromeda,17,17
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-FB (201),-31.012,138.228,Eoporpita,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-4 (214),-31.012,138.228,Eoporpita,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-G (13),-31.012,138.228,Eoporpita,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-A (66),-31.012,138.228,Funisia,6,6
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-FB (201),-31.012,138.228,Funisia,5,5
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-LS (50),-31.012,138.228,Funisia,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-NAB (48),-31.012,138.228,Funisia,4,4
555,Nilpena,Rawnsley Qzite,Rippled.Sand,B-BRW (22),-31.012,138.228,Funisia,10,10
555,Nilpena,Rawnsley Qzite,Rippled.Sand,BARB,-31.012,138.228,Funisia,1,1
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Matt (148),-31.012,138.228,Funisia,0,5000
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-2 (303),-31.012,138.228,Funisia,0,10000
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-3 (363),-31.012,138.228,Funisia,2,2
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Parv (137),-31.012,138.228,Funisia,11,11
555,Nilpena,Rawnsley Qzite,Rippled.Sand,Rugo (45),-31.012,138.228,Funisia,3,3
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-AB (202),-31.012,138.228,Funisia,0,1000
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-F (64),-31.012,138.228,Funisia,1,1
555,Nilpena,Rawnsley Qzite,Sheet.Flow.Sand,Sub (334),-31.012,138.228,Funisia,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-B (104),-31.012,138.228,Helminthoidichnites,5,5
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-HI (52),-31.012,138.228,Helminthoidichnites,42,0
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,e_surface,46.625556,-53.161389,Hiemalora,21,21
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,Imp_surface,46.625556,-53.161389,Hiemalora,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-3 (363),-31.012,138.228,Intrites,8,8
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-4 (214),-31.012,138.228,Intrites,3,3
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-5 (79),-31.012,138.228,Intrites,5,5
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,bc_surface,46.625556,-53.161389,Ivesia,1,1
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,d_surface,46.625556,-53.161389,Ivesia,5,5
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,e_surface,46.625556,-53.161389,Ivesia,77,77
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,g_surface,46.625556,-53.161389,Ivesia,8,8
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,Imp_surface,46.625556,-53.161389,Ivesia,1,1
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,pc_surface,46.625556,-53.161389,Ivesia,79,79
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,sh_surface,46.625556,-53.161389,Ivesia,27,27
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,e_surface,46.625556,-53.161389,Lobate.disc,142,142
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-3 (363),-31.012,138.228,Marywadea,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-NAB (48),-31.012,138.228,Mawsonites,1,1
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-I (93),-31.012,138.228,Mawsonites,10,10
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,d_surface,46.625556,-53.161389,Network,1,1
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,e_surface,46.625556,-53.161389,Network,1,1
565,Mistaken Point,Mistaken Pt. Fm.,Slope.Turbidites,Imp_surface,46.625556,-53.161389,Ostrich.feather,54,54
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-FB (201),-31.012,138.228,Palaeopasichnus,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,STC-I (93),-31.012,138.228,Palaeopasichnus,2,2
555,Nilpena,Rawnsley Qzite,Rippled.Sand,MM-3 (363),-31.012,138.228,Paleophragmodictya,3,3
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-A (66),-31.012,138.228,Parvancorina,23,16
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-BOF (245),-31.012,138.228,Parvancorina,3,3
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-FB (201),-31.012,138.228,Parvancorina,18,18
555,Nilpena,Rawnsley Qzite,Rippled.Sand,1T-LS (50),-31.012,138.228,Parvancorina,1,1
